f, RPR, RBV, F_last, Recl_last
74121,0.834493,0.873235,0.110803,334369
74121,0.834493,0.873235,0.110803,334369
74120.8,0.834493,0.873235,0.110803,334370
74118.8,0.834493,0.873235,0.110803,334381
74098.8,0.834493,0.873235,0.110803,334495
73901,0.834491,0.873232,0.110801,335629
72114.2,0.834466,0.873206,0.110786,347185
68160.2,0.834737,0.87349,0.109806,346993
35402,0.837233,0.876102,0.100472,345083
583126,0.87534,0.915978,0.0808198,709351
34333.1,0.839131,0.878088,0.0998461,352304
34994.4,0.868743,0.909075,0.0797986,445659
33925.6,0.851038,0.890547,0.0916766,385274
33214.2,0.867475,0.907748,0.0800347,431071
34861.5,0.903984,0.945952,0.0579632,528246
33049.8,0.876885,0.917595,0.0742747,451768
42172.2,0.906233,0.948305,0.0625913,473637
33047,0.877461,0.918197,0.074055,452137
33051.6,0.878149,0.918918,0.0737878,452219
33046.2,0.877651,0.918396,0.0739811,452160
33044.6,0.877662,0.918408,0.0739708,452164
33029.6,0.877774,0.918525,0.0738681,452202
32943.3,0.878885,0.919687,0.0728492,452591
32738.5,0.878923,0.919727,0.072724,452951
30790,0.879295,0.920116,0.0714839,456571
21009.9,0.88269,0.923669,0.0602223,494383
4489.7,0.886105,0.927242,0.0587306,542172
599857,0.964117,1.00888,0.0117433,621967
4246.33,0.888566,0.929818,0.0573452,543197
49478.7,0.920539,0.963276,0.0274144,542826
4245.09,0.888775,0.930036,0.0571285,543195
4267.63,0.889361,0.93065,0.056554,543147
4245.03,0.888804,0.930067,0.0570999,543193
4244.9,0.888805,0.930068,0.0571014,543193
4243.74,0.888816,0.930079,0.0571169,543195
4241.19,0.888821,0.930085,0.0571151,543202
4215.76,0.888877,0.930143,0.057097,543275
3978.34,0.889426,0.930718,0.0569163,544004
3471.85,0.889226,0.930509,0.0569388,545455
997.685,0.88717,0.928357,0.0571631,560080
164748,0.703806,0.736481,0.182295,578705
954.397,0.885787,0.92691,0.0580451,560325
4531.58,0.865272,0.905442,0.0709888,559899
953.887,0.885566,0.926679,0.0581821,560319
1012.49,0.884649,0.925719,0.0584685,560290
953.883,0.885559,0.926671,0.0581845,560319
953.877,0.885561,0.926674,0.0581853,560318
953.864,0.885562,0.926674,0.0581852,560316
953.747,0.885567,0.926679,0.0581835,560301
953.489,0.885564,0.926677,0.0581841,560275
950.936,0.885539,0.926651,0.0581908,560009
928.649,0.885292,0.926392,0.0582574,557364
890.404,0.884743,0.925818,0.0587804,551838
13393.5,0.874563,0.915165,0.0472319,543233
890.289,0.884726,0.925799,0.0587419,551812
913.801,0.884761,0.925836,0.0579065,551780
890.289,0.884726,0.925799,0.0587378,551812
890.287,0.884726,0.9258,0.058738,551812
890.277,0.884731,0.925805,0.0587404,551807
890.255,0.884729,0.925803,0.0587405,551798
890.029,0.884715,0.925788,0.0587419,551707
887.842,0.884567,0.925634,0.0587561,550795
873.009,0.883083,0.924081,0.0588978,541757
853.955,0.880294,0.921161,0.0612815,526419
13784.7,0.854601,0.894276,0.0976093,508233
853.927,0.880264,0.921131,0.0613226,526392
862.958,0.879114,0.919927,0.0599202,526361
853.927,0.880261,0.921127,0.0613182,526392
853.927,0.880261,0.921127,0.0613181,526392
853.925,0.88026,0.921126,0.0613175,526389
853.91,0.880253,0.921119,0.0613111,526364
853.876,0.880242,0.921107,0.0613169,526313
853.537,0.880132,0.920992,0.0613744,525801
850.293,0.879026,0.919835,0.0619534,520713
832.106,0.867452,0.907724,0.0680647,472445
855.985,0.849757,0.889208,0.0760494,417149
824.995,0.861904,0.901918,0.0705721,453632
34750.2,0.827307,0.865715,0.0628438,437017
824.994,0.861899,0.901913,0.0705705,453629
824.991,0.861898,0.901912,0.0705713,453625
824.963,0.861885,0.901898,0.0705786,453587
824.756,0.861755,0.901762,0.0706517,453210
824.281,0.861557,0.901555,0.0707654,452576
819.607,0.859571,0.899477,0.0719124,446278
784.505,0.838305,0.877223,0.0844897,387902
756.913,0.81149,0.849163,0.102005,336585
752.514,0.820661,0.858761,0.096404,355974
748.095,0.815045,0.852884,0.0996852,344616
745.055,0.805601,0.843001,0.105436,327719
743.333,0.802108,0.839346,0.107562,322120
742.229,0.798015,0.835063,0.110178,316021
742.148,0.795784,0.832729,0.11162,312711
742.143,0.795729,0.832671,0.111648,312671
742.143,0.795665,0.832603,0.11169,312564
742.143,0.795663,0.832602,0.11169,312562
742.143,0.795663,0.832602,0.11169,312562
742.143,0.795663,0.832602,0.11169,312562
742.143,0.795663,0.832602,0.11169,312562
742.143,0.795663,0.832602,0.11169,312562
742.143,0.795663,0.832602,0.11169,312562
742.143,0.795663,0.832602,0.11169,312562
742.123,0.79566,0.8326,0.11169,312562
741.928,0.795628,0.832579,0.11169,312555
740.459,0.795303,0.832365,0.11169,312484
738.914,0.794945,0.832184,0.111687,311187
736.228,0.794139,0.830818,0.1117,310033
731.158,0.792926,0.82977,0.111801,308381
721.936,0.791301,0.827123,0.112043,305812
707.925,0.787176,0.82645,0.112631,300843
708.368,0.785106,0.813072,0.113344,294684
700.854,0.786141,0.819743,0.112986,297756
699.323,0.786432,0.823797,0.113587,296015
696.758,0.787086,0.826035,0.113797,296075
693.102,0.787842,0.823142,0.114172,295287
687.24,0.789482,0.826048,0.115065,295975
688.433,0.793766,0.830558,0.116659,297225
684.555,0.791429,0.82806,0.11579,296545
683.911,0.792688,0.830164,0.116578,295204
682.947,0.79256,0.830145,0.116778,294032
681.295,0.792545,0.830486,0.117121,291988
678.446,0.792439,0.832377,0.117785,288227
674.373,0.79256,0.835583,0.118955,281688
672.976,0.791704,0.834874,0.120698,271004
672.088,0.791725,0.838411,0.121699,267713
670.547,0.79201,0.839259,0.122336,265119
667.895,0.792245,0.840493,0.123385,259825
665.884,0.793177,0.844826,0.125786,252347
662.914,0.79201,0.844062,0.127313,244709
658.109,0.790667,0.845232,0.129333,233473
662.271,0.789093,0.84596,0.132795,219863
656.42,0.790122,0.845479,0.130537,228605
653.679,0.789153,0.844738,0.131388,224924
648.816,0.787904,0.84378,0.132739,219925
647.646,0.784293,0.838891,0.134933,212326
645.524,0.783514,0.837309,0.135675,212026
641.876,0.781556,0.833445,0.136193,209837
646.167,0.778722,0.828435,0.138059,212247
640.725,0.780666,0.83182,0.136779,210594
638.762,0.780538,0.830243,0.136996,213735
636.039,0.779855,0.827298,0.137198,219194
636.155,0.77848,0.822952,0.137345,230055
634.756,0.779231,0.825314,0.137264,224063
632.405,0.778082,0.822499,0.13738,229370
630.087,0.776406,0.819605,0.137464,237996
630.541,0.774368,0.820469,0.137605,244488
628.874,0.775647,0.819909,0.137517,240414
627.197,0.775366,0.821777,0.137556,242217
624.424,0.774509,0.82583,0.137571,244275
619.415,0.772585,0.834159,0.138068,243837
614.529,0.772666,0.856386,0.139392,241764
608.862,0.77284,0.880481,0.14049,238445
612.936,0.765061,0.899475,0.142532,234575
606.667,0.769921,0.887573,0.141259,236974
609.847,0.767059,0.89463,0.141944,235959
606.03,0.76911,0.889569,0.141453,236685
605.11,0.769084,0.89187,0.14148,237866
603.656,0.76893,0.899053,0.141197,238859
601.212,0.769308,0.912763,0.140558,238506
598.434,0.769659,0.93346,0.138691,243063
619.947,0.770497,0.969236,0.134304,254758
597.707,0.769852,0.943061,0.1374,246410
597.134,0.771885,0.965735,0.136296,244231
596.311,0.773423,0.983898,0.135741,239927
595.599,0.773272,0.997985,0.135091,239703
595.764,0.770172,0.996603,0.137285,233632
595.303,0.771895,0.997352,0.136069,236966
594.909,0.768744,0.9865,0.13887,230272
594.373,0.763053,0.962805,0.144202,220340
593.849,0.753142,0.922066,0.152503,210614
593.526,0.745148,0.894107,0.161599,191338
593.181,0.740898,0.879513,0.167108,180088
592.732,0.737971,0.869569,0.16976,176825
592.26,0.734115,0.853451,0.171545,180093
591.502,0.73342,0.851757,0.171904,180600
590.597,0.735533,0.865331,0.169927,180984
590.158,0.736001,0.871999,0.165559,189900
589.642,0.738862,0.893318,0.163914,182166
588.625,0.738117,0.895249,0.163836,181927
588.115,0.735865,0.902223,0.166457,164354
588.557,0.73015,0.880189,0.172983,152107
587.966,0.733844,0.894347,0.168729,159929
587.964,0.732304,0.887357,0.169037,163320
587.882,0.733113,0.891008,0.168875,161530
587.738,0.733183,0.891791,0.16869,162085
586.66,0.733875,0.899756,0.166851,167744
584.494,0.733603,0.903364,0.167988,164198
583.871,0.738426,0.925776,0.164724,163349
582.955,0.73657,0.917006,0.165977,163676
580.073,0.739626,0.933534,0.162951,167804
574.604,0.74383,0.950741,0.159821,171852
553.032,0.781888,1.1323,0.133806,213699
568.971,0.786485,1.18168,0.127881,207948
542.631,0.783151,1.15157,0.131188,211175
530.793,0.776833,1.12644,0.141706,183106
529.952,0.771255,1.07211,0.154181,149049
525.61,0.773799,1.09595,0.148371,163694
519.717,0.758116,1.04974,0.168582,134704
512.979,0.74903,1.01229,0.17431,136014
510.961,0.724624,0.933466,0.201074,109373
508.449,0.734408,0.963822,0.190144,119127
503.848,0.725915,0.945666,0.200575,109206
500.219,0.722366,0.951158,0.207292,101266
498.122,0.725727,0.961001,0.205378,102934
495.644,0.725622,0.965949,0.202567,106335
495.788,0.730942,0.991588,0.200823,104552
494.387,0.728267,0.978523,0.201698,105445
492.778,0.728238,0.992849,0.201509,104157
490.579,0.729309,1.00866,0.199723,105769
488.228,0.727187,1.01608,0.2016,103476
487.616,0.726966,1.02591,0.204107,99334.5
486.712,0.726989,1.02164,0.203088,100992
485.029,0.726992,1.03728,0.205967,97373.8
483.975,0.72399,1.03406,0.209595,91666.9
482.664,0.723363,1.03934,0.210514,88462
482.173,0.720632,1.03596,0.214682,81628.4
481.385,0.722319,1.04499,0.213117,81884.8
480.36,0.725594,1.06702,0.20944,82907.4
479.671,0.729496,1.08574,0.206312,82467.9
479.098,0.730343,1.09172,0.205567,80883.5
478.395,0.732183,1.10574,0.204019,80135
477.316,0.733273,1.11546,0.203106,78557
476.429,0.736103,1.13885,0.201817,75313.4
475.643,0.734966,1.13136,0.202698,74577.1
474.937,0.732811,1.12486,0.205591,72964.1
474.296,0.731962,1.11714,0.207502,71436
473.786,0.72953,1.10529,0.210551,69364.3
473.218,0.728451,1.10549,0.212499,68839
473.033,0.725545,1.1017,0.215463,67978.3
472.712,0.725538,1.10095,0.215275,68258.7
472.284,0.725274,1.10044,0.216034,68282.2
471.867,0.725637,1.10831,0.216081,68425.2
471.493,0.725616,1.10575,0.21461,70306.1
471.286,0.726448,1.11122,0.212771,72526.5
470.97,0.726792,1.11411,0.211845,74020.6
470.645,0.726088,1.11542,0.211477,75665.3
470.462,0.726039,1.11438,0.210969,77703.8
470.318,0.725999,1.11442,0.210455,78633
470.133,0.725467,1.1097,0.210325,79376.4
469.923,0.724045,1.10129,0.211672,78730.2
469.912,0.721714,1.08731,0.213819,77542.3
469.806,0.722798,1.09373,0.21282,78091.5
469.635,0.722355,1.09063,0.213675,76703.8
469.46,0.722504,1.08962,0.214386,74689.4
469.323,0.722499,1.08933,0.214687,73403.4
469.191,0.723224,1.09398,0.214509,71093.4
469.096,0.724174,1.09856,0.21387,69963.4
468.99,0.724772,1.1013,0.213193,69678.1
468.888,0.725115,1.10391,0.212679,69757.5
468.74,0.725359,1.10695,0.211896,70454.2
468.602,0.725168,1.10841,0.211329,71632.8
468.477,0.725005,1.10951,0.210639,73012.4
468.325,0.723943,1.10514,0.210587,74951.9
468.261,0.724088,1.10469,0.209838,75838.5
468.208,0.723838,1.10125,0.209679,76165
468.131,0.723849,1.09825,0.209282,77037.7
468.024,0.724593,1.09736,0.207767,78281.7
467.933,0.72509,1.09597,0.207168,78276
467.871,0.725307,1.09792,0.207052,77913.8
467.774,0.72569,1.10312,0.206977,77020.5
467.654,0.726212,1.11292,0.207318,74798.2
467.574,0.726916,1.11988,0.207084,73435.2
467.48,0.727322,1.12815,0.206946,72152.2
467.393,0.727151,1.12675,0.207125,71605.2
467.326,0.726438,1.12064,0.206957,72731.2
467.287,0.72567,1.11375,0.206994,74073.4
467.243,0.723842,1.10062,0.207801,76093.3
467.201,0.722113,1.08932,0.208334,77974
467.164,0.721015,1.08411,0.208794,78731.9
467.14,0.720916,1.08394,0.208501,79088.2
467.11,0.721401,1.08806,0.207963,78554.1
467.075,0.722206,1.09347,0.20728,78124.7
467.046,0.722552,1.09677,0.207308,77229.2
467.023,0.722667,1.09812,0.207686,76281.5
466.988,0.722616,1.09871,0.208173,75460
466.945,0.722917,1.10091,0.208221,74811
466.921,0.723199,1.10271,0.207782,74923.3
466.895,0.723638,1.10438,0.206741,75671.1
466.88,0.723985,1.10615,0.205953,76171.5
466.868,0.724052,1.10605,0.205578,76506.5
466.857,0.723992,1.10508,0.205369,76739.4
466.845,0.724087,1.10487,0.205338,76620.8
466.833,0.724087,1.10435,0.205514,76268.5
466.823,0.724145,1.10355,0.205601,76076.4
466.817,0.724154,1.10374,0.205655,75963.3
466.809,0.724004,1.10277,0.205718,76007.9
466.797,0.723724,1.10151,0.20583,76103.1
466.782,0.723212,1.09973,0.206063,76157.5
466.772,0.722943,1.09936,0.206171,76147.6
466.762,0.722791,1.09995,0.206207,76050.1
466.756,0.722791,1.10061,0.206135,76027.5
466.75,0.722855,1.10133,0.206037,75961.1
466.743,0.722886,1.10115,0.205944,75992.2
466.737,0.72291,1.10063,0.205934,75936.4
466.731,0.722912,1.09951,0.205934,75934.6
466.724,0.722932,1.09861,0.206052,75768.8
466.719,0.723031,1.09872,0.206065,75638.5
466.716,0.72313,1.09936,0.206079,75478.7
466.712,0.723339,1.10089,0.205909,75395.5
466.707,0.723514,1.10234,0.205702,75397.1
466.702,0.723713,1.10379,0.205372,75574.3
466.699,0.723664,1.10347,0.20529,75761.6
466.697,0.723586,1.10289,0.205284,75904.7
466.695,0.723413,1.10168,0.205401,75982.8
466.692,0.723244,1.1005,0.205576,75983.1
466.689,0.723197,1.10005,0.205695,75861.1
466.687,0.723277,1.10052,0.205725,75694.1
466.685,0.723436,1.10147,0.205626,75575.2
466.684,0.723578,1.10238,0.205532,75466.6
466.681,0.723718,1.10326,0.205393,75393.1
466.676,0.723758,1.1036,0.205299,75374.6
466.672,0.723599,1.1027,0.205312,75495.1
466.669,0.723362,1.10142,0.205459,75642.2
466.668,0.723105,1.09986,0.20565,75815.5
466.666,0.722971,1.09927,0.205796,75892.2
466.664,0.72294,1.09913,0.205876,75971.1
466.661,0.723068,1.10016,0.205859,75953
466.657,0.723341,1.10212,0.205719,75902.9
466.653,0.72367,1.1047,0.205547,75726.7
466.647,0.72392,1.10702,0.205439,75557.6
466.642,0.723935,1.10793,0.205502,75379.6
466.639,0.723758,1.10735,0.205697,75372.8
466.638,0.723611,1.10655,0.205805,75404.5
466.636,0.723525,1.10575,0.205892,75469.2
466.635,0.723566,1.10568,0.205864,75536.7
466.633,0.72369,1.10603,0.205799,75584.1
466.63,0.723872,1.10686,0.205695,75637.8
466.626,0.724019,1.10763,0.20566,75689.3
466.621,0.724036,1.10808,0.205766,75718
466.618,0.723815,1.10735,0.206045,75719.9
466.617,0.723624,1.10689,0.206259,75687.4
466.616,0.723452,1.106,0.206409,75696.6
466.615,0.723304,1.10535,0.206556,75688.2
466.613,0.72318,1.10475,0.206701,75678.8
466.609,0.723066,1.10415,0.206867,75679.7
466.605,0.723039,1.10382,0.207019,75701.8
466.603,0.723159,1.10414,0.206935,75746.6
466.601,0.723396,1.10526,0.206731,75844.8
466.6,0.723588,1.10628,0.206549,75886.3
466.6,0.723594,1.10649,0.206552,75889.2
466.598,0.723587,1.10677,0.206585,75877.4
466.596,0.723554,1.10715,0.206658,75841.8
466.593,0.72349,1.10763,0.206785,75776.1
466.59,0.723447,1.10778,0.206852,75735.8
466.586,0.723496,1.10823,0.206891,75777.7
466.583,0.723535,1.10767,0.206807,75883.4
466.582,0.723594,1.10786,0.206778,75972.7
466.58,0.723654,1.10785,0.206699,76102.1
466.577,0.723689,1.10743,0.206563,76241.6
466.576,0.723676,1.10717,0.206498,76248.9
466.574,0.72367,1.10709,0.206436,76145.3
466.573,0.723659,1.10728,0.206415,75998.9
466.571,0.72364,1.10747,0.206428,75866.7
466.568,0.723599,1.10782,0.206494,75789
466.565,0.723582,1.1082,0.206576,75852
466.564,0.723589,1.10847,0.206614,75980.9
466.563,0.723615,1.10865,0.206626,76109.4
466.562,0.723637,1.10885,0.206618,76165.4
466.562,0.723661,1.10932,0.206612,76174.7
466.56,0.723681,1.10979,0.206604,76156.4
466.558,0.723684,1.11031,0.206603,76096.3
466.554,0.723664,1.11073,0.206606,75991.3
466.551,0.723594,1.11053,0.206629,75884.7
466.55,0.723538,1.10996,0.206668,75883.7
466.549,0.723488,1.10903,0.206684,75904.2
466.548,0.72348,1.10888,0.206704,75937.6
466.547,0.72349,1.10881,0.2067,75969
466.546,0.723502,1.10869,0.20668,76000
466.544,0.723521,1.10853,0.206636,76028.5
466.541,0.723551,1.10837,0.206553,76047.4
466.536,0.723592,1.10827,0.206423,76029.5
466.532,0.723623,1.10829,0.206326,75961.9
466.528,0.723655,1.10846,0.206253,75865.5
466.524,0.723674,1.10877,0.206249,75810.9
466.52,0.723677,1.10899,0.206302,75796.6
466.519,0.723701,1.10945,0.206355,75836.8
466.518,0.723707,1.1094,0.206371,75855.8
466.517,0.723717,1.10951,0.206401,75872.2
466.516,0.723749,1.10973,0.20642,75895.6
466.513,0.723787,1.10992,0.206432,75919.4
466.51,0.723829,1.10984,0.20642,75936.9
466.508,0.723819,1.10932,0.206459,75925.3
466.505,0.723797,1.1089,0.206464,75906.3
466.502,0.72375,1.10763,0.206517,75822.4
466.5,0.723704,1.10653,0.206594,75741
466.498,0.723691,1.10575,0.206635,75651.2
466.496,0.723678,1.10473,0.206697,75604.4
466.492,0.723677,1.10381,0.206699,75585.1
466.488,0.723702,1.10291,0.20664,75680.6
466.486,0.723678,1.10273,0.206537,75806.6
466.485,0.723676,1.10293,0.206509,75825.2
466.484,0.723678,1.10329,0.206433,75889.4
466.484,0.723668,1.10329,0.206408,75884
466.483,0.723654,1.10326,0.206386,75865.7
466.482,0.723646,1.1032,0.20635,75834.6
466.481,0.723641,1.10307,0.206294,75798.7
466.479,0.723672,1.10293,0.206182,75769
466.477,0.723708,1.10293,0.206116,75815.2
466.476,0.723791,1.10308,0.206052,75889.6
466.476,0.723835,1.10328,0.206047,76015.8
466.476,0.723838,1.10322,0.206055,76018
466.476,0.723831,1.10319,0.20607,76018.6
466.476,0.723816,1.10315,0.206093,76023.2
466.475,0.723799,1.10312,0.206117,76022.6
466.475,0.723782,1.10311,0.206132,76015.2
466.475,0.723769,1.10313,0.206132,75994.9
466.474,0.72376,1.10317,0.206104,75962.3
466.473,0.723761,1.10323,0.206055,75935.3
466.473,0.723765,1.10323,0.206016,75937
466.473,0.723766,1.10321,0.206002,75950.6
466.473,0.723765,1.10318,0.205996,75969.3
466.473,0.72376,1.10314,0.205995,75989.6
466.473,0.723749,1.10307,0.205995,76015.5
466.472,0.723726,1.10296,0.206001,76043.3
466.472,0.723683,1.10276,0.206016,76074.4
466.471,0.723641,1.10263,0.206037,76071.6
466.471,0.723625,1.10252,0.206037,76066.9
466.471,0.723623,1.10253,0.206041,76048.9
466.471,0.723629,1.10254,0.206033,76035.4
466.471,0.723637,1.10254,0.206016,76021.8
466.47,0.723647,1.10251,0.205987,76010.1
466.47,0.723656,1.10244,0.20594,76005.6
466.469,0.723665,1.10235,0.205861,76019
466.469,0.723677,1.10237,0.205781,76054.8
466.468,0.723664,1.10238,0.205741,76088.4
466.468,0.723648,1.10252,0.205718,76137.6
466.468,0.723646,1.10253,0.205675,76158.3
466.467,0.723654,1.10259,0.205665,76154.2
466.467,0.723671,1.10271,0.205659,76142.9
466.467,0.723692,1.10289,0.20565,76123.4
466.466,0.723703,1.10299,0.205664,76108
466.466,0.72371,1.10311,0.205691,76091.7
466.466,0.723708,1.10319,0.20575,76074.3
466.466,0.723704,1.10321,0.205774,76074.4
466.466,0.723696,1.1032,0.2058,76080.1
466.466,0.723697,1.10322,0.2058,76083.3
466.465,0.723701,1.10324,0.205802,76075.7
466.465,0.723708,1.10325,0.205817,76051.4
466.465,0.72371,1.10324,0.205856,76008.4
466.464,0.723698,1.10313,0.205928,75944.6
466.463,0.72367,1.10294,0.205993,75901.9
466.463,0.72364,1.10274,0.206014,75900.4
466.462,0.723622,1.10262,0.206012,75912.5
466.463,0.72359,1.10241,0.205958,75944.1
466.462,0.723614,1.10257,0.205999,75920.1
466.462,0.723613,1.10255,0.205988,75920.7
466.462,0.723613,1.10255,0.205969,75912.9
466.462,0.723613,1.10255,0.205961,75904.1
466.462,0.723613,1.10256,0.205954,75894.2
466.462,0.723613,1.10256,0.205946,75885.4
466.462,0.723615,1.10257,0.205937,75877.6
466.462,0.723616,1.10257,0.205924,75872.6
466.461,0.723624,1.10261,0.205907,75873.1
466.461,0.723636,1.10267,0.205901,75887.6
466.461,0.723654,1.10274,0.205911,75926.2
466.46,0.723662,1.10279,0.205932,75949.7
466.46,0.723665,1.1028,0.205947,75959.6
466.46,0.723666,1.10281,0.205956,75959.3
466.46,0.723669,1.10283,0.205963,75955.9
466.46,0.723674,1.10286,0.205969,75950.4
466.46,0.723682,1.10292,0.205972,75942
466.46,0.723693,1.10298,0.205975,75933.2
466.459,0.723701,1.10305,0.205982,75926.6
466.459,0.723701,1.10307,0.206,75929.4
466.459,0.723691,1.10302,0.206028,75936.1
466.458,0.723678,1.10294,0.206052,75939.1
466.458,0.723671,1.10288,0.20606,75933.2
466.458,0.723671,1.10287,0.206065,75930.5
466.458,0.723671,1.10287,0.206063,75927.5
